text,target,label,start,end
Is it complicated the reelection of @barackobama that Latinos disapprove management on deportation 2-1 ? PEW Reserch http://t.co/4RosDSXs,@barackobama,negative,6,7
Is it complicated the reelection of @barackobama that Latinos disapprove management on deportation 2-1 ? PEW Reserch http://t.co/4RosDSXs,PEW Reserch,neutral,15,17
"Ugarit News || #Syria || [ 11 Dec 2011 ] Al-Bayadah , #Hom s: The martyr Fouad Kan'an along with his Mother , sister , ... http://t.co/UoSl3D0o",Ugarit News,neutral,0,2
"Ugarit News || #Syria || [ 11 Dec 2011 ] Al-Bayadah , #Hom s: The martyr Fouad Kan'an along with his Mother , sister , ... http://t.co/UoSl3D0o",Al-Bayadah,neutral,10,11
"Ugarit News || #Syria || [ 11 Dec 2011 ] Al-Bayadah , #Hom s: The martyr Fouad Kan'an along with his Mother , sister , ... http://t.co/UoSl3D0o",Fouad Kan'an,neutral,16,18
Nexus One's Noise Cancellation Coming to AT & T - PC Magazine : Nexus One's Noise Cancellation â?¦ http://goo.gl/fb/4Fu3,Nexus,neutral,0,1
Nexus One's Noise Cancellation Coming to AT & T - PC Magazine : Nexus One's Noise Cancellation â?¦ http://goo.gl/fb/4Fu3,AT & T,neutral,6,9
Nexus One's Noise Cancellation Coming to AT & T - PC Magazine : Nexus One's Noise Cancellation â?¦ http://goo.gl/fb/4Fu3,Nexus,neutral,13,14
Abraham Lincoln's mother died when she drank the milk of a cow that grazed on poisonous snakeroot .,Abraham Lincoln's,neutral,0,2
"Want to Test & Keep New Sony Vaio Laptop for Free ? Enter ZIP code here , see availablity in your area . spon http://tinyurl.com/ykxhlxz",Sony,neutral,6,7
I posted a new photo to Facebook http://t.co/1ZuCr6cb,Facebook,neutral,6,7
"Listening to @smashingpumpkin on BBC Radio 1 , SD truly is a masterpiece :D",BBC Radio,neutral,4,6
USA Asked Permission for Drone Attack in Pakistan Which Killed Hakim Ullah Mehsud http://t.co/6iYW5ROF via @viewstonews,Hakim Ullah Mehsud,neutral,10,13
felling vaery sad bcz of Steve Jobs's death ...........,Steve Jobs's,positive,5,7
Prince offers $ 1m to seize Israelis - The Independent http://t.co/LbhiTBAQ,The Independent,neutral,8,10
Dunman High's 2011 cohort's performance . XD http://t.co/yB7MZtrp,Dunman High's,neutral,0,2
Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal !!! too many questions to answer ! #FamilysConsultant,Faisal,negative,0,1
Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal !!! too many questions to answer ! #FamilysConsultant,Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal Faisal,neutral,1,12
"jlkVisions Colorado Springs , CO Currently offering 10 % off our design services . Sche http://t.co/ccJWyBrv ColoradoSprings Weddings #coupon",jlkVisions,neutral,0,1
@yessyseashells Find out what kind of coverage you need first XD . Like heavy or light . Heavy will be stuff in jars and light is like wands .,@yessyseashells,neutral,0,1
My #Misfits power : FaceLook - The power to block any embarrassing photos before they appear on Facebook . Get yours http://t.co/yaQUeLV5,Facebook,negative,17,18
Howard Alan Events Presents Nationally Ranked Las Olas Art Fair on March 3 - 4 http://t.co/LdLxH0VE,Howard Alan Events,neutral,0,3
@JAYBUMAOM Hi Jay !!! I can't wait for your mv and album release ! Woop & lt ; 3,Jay,positive,2,3
CIA to operate drones over Yemen - The Washington Post http://t.co/UESmx3Z via @washingtonpost,CIA,neutral,0,1
CIA to operate drones over Yemen - The Washington Post http://t.co/UESmx3Z via @washingtonpost,The Washington Post,neutral,7,10
U.N . failed civilians during Congo rebel attack http://bit.ly/cuC6ks,U.N,negative,0,1
@rimamaktabi Saudi Arabia : Manal Al-Sharif Arrested for defying ban on driving . http://bit.ly/l4vlxH,Manal Al-Sharif,neutral,4,6
Just posted a photo @ Ordination Dr . Buchsteiner http://t.co/miPUXDtI,Dr . Buchsteiner,neutral,6,9
"@Xe05 Support our NUS student team . 90s video on championship to win $ 1 , 000 or trip to Singapore ( Deadline 17 May ) http://tiny.cc/ptj56",NUS,positive,3,4
THAKSIN do not want 2B come PM . But he wants 2B the PRESIDENT of the REPUBLIC of THAILAND .,THAKSIN,neutral,0,1
THAKSIN do not want 2B come PM . But he wants 2B the PRESIDENT of the REPUBLIC of THAILAND .,PM,neutral,6,7
THAKSIN do not want 2B come PM . But he wants 2B the PRESIDENT of the REPUBLIC of THAILAND .,PRESIDENT,neutral,13,14
@hameed_jamal English premier league all letters and numbers ..,@hameed_jamal,neutral,0,1
"Meg Whitman â?? s â?? ... voting record is unacceptable ... â?? - Contra Costa Times Editorial , 10-5-09",Meg Whitman,negative,0,2
"Meg Whitman â?? s â?? ... voting record is unacceptable ... â?? - Contra Costa Times Editorial , 10-5-09",Contra Costa Times,neutral,13,16
& am p; Raheem Sterling suddenly became a topic . Wow .,Raheem Sterling,neutral,3,5
"@AhmadShuja You definately need a new picture . I saw you on Al-Jazeera , you look different -old - joke . Time to remove ur tazkera pic .",Al-Jazeera,neutral,12,13
Mayor of Los Angeles endorses marriage equality as a Democratic party plank http://t.co/DlzxXsKq,Mayor,neutral,0,1
Mayor of Los Angeles endorses marriage equality as a Democratic party plank http://t.co/DlzxXsKq,Democratic party,neutral,9,11
Touchdown STEELERS !!!!,STEELERS,positive,1,2
[ 10 ] Jang Keun-suk warns die-hard fans not to take things too far via @viki,Jang Keun-suk,neutral,3,5
I just scored 1832 on Scene It ? Harry Potter for iPhone . Want to beat my score ? Get it from the App Store ! http://bit.ly/9MIwwm,Harry Potter,neutral,8,10
"CBI inquiry ordered against Mumbai's top cops including ATS chief Rakesh Mariya n ACP Vishwas Nagare Patil , for trying to save an IPS officer",CBI,neutral,0,1
"CBI inquiry ordered against Mumbai's top cops including ATS chief Rakesh Mariya n ACP Vishwas Nagare Patil , for trying to save an IPS officer",ATS,neutral,8,9
"CBI inquiry ordered against Mumbai's top cops including ATS chief Rakesh Mariya n ACP Vishwas Nagare Patil , for trying to save an IPS officer",Rakesh Mariya,neutral,10,12
"CBI inquiry ordered against Mumbai's top cops including ATS chief Rakesh Mariya n ACP Vishwas Nagare Patil , for trying to save an IPS officer",ACP,neutral,13,14
"CBI inquiry ordered against Mumbai's top cops including ATS chief Rakesh Mariya n ACP Vishwas Nagare Patil , for trying to save an IPS officer",Vishwas Nagare Patil,neutral,14,17
"CBI inquiry ordered against Mumbai's top cops including ATS chief Rakesh Mariya n ACP Vishwas Nagare Patil , for trying to save an IPS officer",IPS,neutral,23,24
"The IT Job market is booming again , Are you ready to take your career to a new high ? Log on to TimesJobs to know more http://t.co/HHEMQDHe",TimesJobs,neutral,23,24
@mhGaber Nehal Salah's Talk at TEDxTanta http://t.co/pTL1yZeH,Nehal Salah's,neutral,1,3
@Shibeeb finally you become an ARSENAL fan #GoonerPower http://t.co/gilYdE4C,@Shibeeb,positive,0,1
@Shibeeb finally you become an ARSENAL fan #GoonerPower http://t.co/gilYdE4C,ARSENAL,positive,5,6
they are not worried on Anna's health,Anna's,neutral,5,6
"TOP INTERNET MARKETING PROFESSIONALS EVALUATE , REVIEW LOCAL WEBSITES AT JULY AZIMA EVENT ... http : //p.gs/hh5hp",AZIMA,positive,11,12
"@tjl That's great , Tom . We hope you enjoy and share them . Here's a great #video of @tigoe http://t.co/DOoKKtMf /gg",Tom,positive,4,5
Listen to Dj ilko's Cloudcast on http://t.co/Dy9xR8gD http://t.co/BATETU8J via @mixcloud,Dj ilko's,neutral,2,4
Huff post likes it : London Ranked Second Best Student City In World http://t.co/GN2lTWeG via @HuffPostUK #studentcites,Huff post,neutral,0,2
Thank god for twitter ; makes waiting outside of conference rooms much more bearable ...,twitter,positive,3,4
"ECB : Gloomy on economy , upbeat on euro : The European Central Bank offered a slightly more pessimistic outlook fo ... http://t.co/GrqrnnPE",ECB,neutral,0,1
"ECB : Gloomy on economy , upbeat on euro : The European Central Bank offered a slightly more pessimistic outlook fo ... http://t.co/GrqrnnPE",The,neutral,10,11
"ECB : Gloomy on economy , upbeat on euro : The European Central Bank offered a slightly more pessimistic outlook fo ... http://t.co/GrqrnnPE",European Central Bank,negative,11,14
Twitter has just announced th ... http://t.co/wdYjwavQ,Twitter,neutral,0,1
Better Doctors Focus on Mistakes - The Atlantic http://t.co/HmvIGVaP via @AddThis,The Atlantic,neutral,6,8
Prosperity & Success for humanity is only in obeying the Orders of ALLAH ( S.W.T ) by following the way of Prophet Muhammad ( S.A.W ),ALLAH,positive,12,13
Prosperity & Success for humanity is only in obeying the Orders of ALLAH ( S.W.T ) by following the way of Prophet Muhammad ( S.A.W ),Prophet Muhammad,positive,21,23
"Saw Erykah Badu last night , vile venue unfortunately : http://t.co/DmpScvSj via @gazetaru",Erykah Badu,negative,1,3
"Schandra Sequin Rockstar Handbag with Sequins & Studs ( Apparel ) newly tagged ""handbag"" : Schandra ... http://amzn.to/hRY2dm",Schandra,neutral,0,1
"Schandra Sequin Rockstar Handbag with Sequins & Studs ( Apparel ) newly tagged ""handbag"" : Schandra ... http://amzn.to/hRY2dm",Schandra,neutral,15,16
"Le Guin ""Many of my science fiction stories involve a kind of anthropologist who is alone on a planet , set alone among a strange people.""",Le Guin,neutral,0,2
Someone turned on the march madness at the #YYZ US customs port of entry today . Thank God for NEXUS . Took 30 secs Vs hours .,NEXUS,positive,19,20
$ 19.99 for $ 59.88 Value â?? 48-Pack Duracell Copper Top AA Alkaline Batteries Plus Free Shipping http://t.co/CXcngouc #coupons,Duracell,neutral,8,9
How a 3 Year Old Girl Introduced Her Dad to Superhero Comics - ComicsAlliance - http://t.co/OpU8T7t2,ComicsAlliance,neutral,13,14
Sergio Aguero greets Man City fans at the Etihad Stadium http://t.co/XqQUro4,Sergio Aguero,positive,0,2
Sergio Aguero greets Man City fans at the Etihad Stadium http://t.co/XqQUro4,Man City,neutral,3,5
"@ZandraAziela My name is LUCK . Well miss , good luck to u too . ""You can run , but you can't never hide .. "" LOL .",@ZandraAziela,neutral,0,1
@mollymhunter please RT : Rally for #Syria tomorrow in #NYC by the UN at 1pm . Come support those Syrians literally dying for freedom !!,UN,neutral,12,13
"When it comes to presentation , Mark Zuckerberg is no Steve Jobs ;P http://t.co/3ORETf2 facebook announcement",Mark Zuckerberg,negative,6,8
"When it comes to presentation , Mark Zuckerberg is no Steve Jobs ;P http://t.co/3ORETf2 facebook announcement",Steve Jobs,positive,10,12
"When it comes to presentation , Mark Zuckerberg is no Steve Jobs ;P http://t.co/3ORETf2 facebook announcement",facebook,negative,14,15
"Top 10 Twitter tips that could land you on a cover ! #31daysonBE ... : It was also a direct result of a tweet , so ... http://t.co/BZV2D9as",Twitter,neutral,2,3
Forex - EUR/USD halts slide after Greece scare : Blessings from private creditors is a requirement for Greece to ... http://t.co/oTocibbp,Forex,neutral,0,1
feminist author Barbara Novak ( Renee Zellweger ) finds herself head-over-heels.....http://www.acmemoviereviews.bravehost.com/downwithlove.htm,Barbara Novak,neutral,2,4
feminist author Barbara Novak ( Renee Zellweger ) finds herself head-over-heels.....http://www.acmemoviereviews.bravehost.com/downwithlove.htm,Renee Zellweger,neutral,5,7
Ã¢Â?Â? @ HalaGorani : International community soft words MUST end . Assad is not a reformer he is a Dictator and your silence makes it worst . # Syria Ã¢Â?Â?,HalaGorani,positive,2,3
Ã¢Â?Â? @ HalaGorani : International community soft words MUST end . Assad is not a reformer he is a Dictator and your silence makes it worst . # Syria Ã¢Â?Â?,Assad,negative,11,12
The Future Sound of London - Environments 3 ( 2010 ) : http://bit.ly/bqZpSP,The Future Sound of,neutral,0,4
The Future Sound of London - Environments 3 ( 2010 ) : http://bit.ly/bqZpSP,London,neutral,4,5
seo tool s: Need help for facebook by jdpla23 ( http://t.co/apz2UsAv),facebook,neutral,6,7
I liked a @YouTube video http://t.co/TTDr9TNr One Direction - What Makes You Beautiful,One Direction,positive,6,8
"Every Aussie should watch this trailer pls RT "" @ deepblueseafilm 'What turns a person into a boat person ? Find out ... http://t.co/znRBFBMr""",deepblueseafilm,positive,10,11
Overweight ? Heart Problem ? Any health questions ? Call Dr . V now 212-528-0129 He's Live on WOR710 NY,Dr . V,neutral,10,13
Overweight ? Heart Problem ? Any health questions ? Call Dr . V now 212-528-0129 He's Live on WOR710 NY,WOR710,neutral,18,19
"Obama Administration Requests More Money for IR S: By Michael Cohn , Accounting Today The Obama administration has ... http://t.co/pxMgtxnX",Obama,neutral,0,1
"Obama Administration Requests More Money for IR S: By Michael Cohn , Accounting Today The Obama administration has ... http://t.co/pxMgtxnX",IR S:,neutral,6,8
"Obama Administration Requests More Money for IR S: By Michael Cohn , Accounting Today The Obama administration has ... http://t.co/pxMgtxnX",Michael Cohn,neutral,9,11
"Obama Administration Requests More Money for IR S: By Michael Cohn , Accounting Today The Obama administration has ... http://t.co/pxMgtxnX",Obama,neutral,15,16
#yemen #usa #islam protest infront Pakistani embassy demanding release widow Sheikh Osama bin Laden and her children : http://t.co/HQipqlce,Sheikh Osama bin Laden,neutral,10,14
17th SAARC Summit to be held at Addu city in Maldives from November 10-11 http://t.co/dw3a48L7,SAARC,neutral,1,2
@tariqal Tariq man I'm gutted I won't be able to be there tonite :'( will the exhibiton just be tonight ?,Tariq,neutral,1,2
CHEAP O AIR is the fastest growing VACATION PACKAGE site reknown for its best deals dont miss out http://cli.gs/umsVWA,CHEAP O AIR,positive,0,3
see : Berbatov To The Rescue - But Manchester United's Endless Desire To Win Means They Will Always Find A Hero From ... http://bit.ly/gK9mS7,Berbatov,neutral,2,3
"#Metallica Tickets for sale , #Adelaide Mon Nov 15th , Gold Reserve 2 ticket s: Section 31 , Row M . $ 330 . Call Michael ... http://fb.me/KZx1ehi9",Michael,neutral,25,26
halftime of the NBA finals Dallas leads Miami 44-43 LETS GO HEAT !!!!!!!,NBA,neutral,3,4
halftime of the NBA finals Dallas leads Miami 44-43 LETS GO HEAT !!!!!!!,HEAT,positive,11,12
"Hm , 81 points for Kim Jong Il , not a bad pick .. Puts me on 3/20 for the year #about2croak",Kim Jong Il,neutral,5,8
american Whole Foods Market is like a temple of food,Whole Foods Market,positive,1,4
@RealEstateHQ @ActonBIA @Mone Greetings from Montenegro http://t.co/p1jJhepA,@RealEstateHQ,neutral,0,1
@RealEstateHQ @ActonBIA @Mone Greetings from Montenegro http://t.co/p1jJhepA,@ActonBIA,neutral,1,2
@RealEstateHQ @ActonBIA @Mone Greetings from Montenegro http://t.co/p1jJhepA,@Mone,neutral,2,3
New blog post : Microsoft Encourages Reputation Management http://t.co/o6ynW54K,Microsoft,neutral,4,5
BrightideaHQ : Open Innovation Success for GE â?? s Healthymagination : 500+ Real Ideas to Fight Cancer : General Elect ... http://t.co/LcR3JMtN,GE,positive,6,7
"Roald Dahl : ""We have so much time and so little to do . Strike that , reverse it."" http://bit.ly/aBo0wQ",Roald Dahl,neutral,0,2
Ayreon - The Human Equation ( 2004 ) FLAC http://t.co/l20qd7ic,Ayreon,neutral,0,1
""" @ BillGate s: Met with @NYTimesFriedman to talk about the future of the US . Sharing video Friday . # askbillg""",BillGate s:,neutral,2,4
"Today â?? s Top Storie s: iPad HD Rumors , Colleges Demand Applicants â?? Facebook Data http://t.co/mhspesy0",Facebook,neutral,14,15
@nabbycat I don't make terrariums but @vixlew does . Mine is from her ( & a pretty lil' thing it is too ! ) @muses79,@nabbycat,neutral,0,1
@nabbycat I don't make terrariums but @vixlew does . Mine is from her ( & a pretty lil' thing it is too ! ) @muses79,@vixlew,positive,6,7
Mahela in 77 runs .... Time to get him out ... 205 for 4 after 44 overs .... Come on India .... Just keep it tight for the next 6 overs ...,Mahela,negative,0,1
@butterschlongs @fionasimpeijun cine . My friend just left .,My friend,neutral,4,6
"@CarlosLatuff Dear Carlos I love this cartoon too , it's quite true vision . Thx & go ahead ... support u",Carlos,positive,2,3
Artist Kim Itoh and gang enjoying themselves at Cold Stone Creamery at Orchard Central . Who says that work must ... http://t.co/5Jc4reeA,Kim Itoh,positive,1,3
Artist Kim Itoh and gang enjoying themselves at Cold Stone Creamery at Orchard Central . Who says that work must ... http://t.co/5Jc4reeA,Cold Stone Creamery,positive,8,11
Posted 'Susie Essman - The Dusty Wright Show' to blip.tv : http://blip.tv/file/4030474,'Susie Essman,neutral,1,3
Posted 'Susie Essman - The Dusty Wright Show' to blip.tv : http://blip.tv/file/4030474,Dusty Wright,neutral,5,7
Confused about bioidentical hormones and hormone replacement therapy . Dr . Minkoff does a great job at explaining ... http://t.co/VnYeNXYw,Dr . Minkoff,positive,9,12
Samsung Offers Android 4.0 Ice Cream Sandwich Upgrade for GALAXY devices http://t.co/1Yi2AtIS,Samsung,neutral,0,1
Samsung Offers Android 4.0 Ice Cream Sandwich Upgrade for GALAXY devices http://t.co/1Yi2AtIS,Android,neutral,2,3
Samsung Offers Android 4.0 Ice Cream Sandwich Upgrade for GALAXY devices http://t.co/1Yi2AtIS,GALAXY,neutral,9,10
"New Orleans Saint s: Twitter High , Combine silence and Mario Williams , No ? http://t.co/J0jJ3qGx",New Orleans Saint s:,neutral,0,4
"New Orleans Saint s: Twitter High , Combine silence and Mario Williams , No ? http://t.co/J0jJ3qGx",Twitter,neutral,4,5
"New Orleans Saint s: Twitter High , Combine silence and Mario Williams , No ? http://t.co/J0jJ3qGx",Mario Williams,neutral,10,12
Stand Up Message from the President : â?? Still time to find a house party near you â?? http://ow.ly/19oLEz,President,positive,5,6
"*Video* Watch Mark Zuckerberg's Surprise ""SNL"" Cameo : http://bit.ly/gHepxY",Mark Zuckerberg's,neutral,2,4
"[ Education ] SingTel fined $ 40 , 000 for selling sex-themed mobile phone game s: SingTel has been slapped with a $ 40 ... http://bit.ly/pLJjVW",SingTel,negative,3,4
"[ Education ] SingTel fined $ 40 , 000 for selling sex-themed mobile phone game s: SingTel has been slapped with a $ 40 ... http://bit.ly/pLJjVW",SingTel,negative,16,17
( http://t.co/mo0clj2P) Texans' first playoff season ends with 20-13 loss at Baltimore : http://t.co/83WhgaJr,http://t.co/mo0clj2P) Texans',neutral,1,3
( http://t.co/mo0clj2P) Texans' first playoff season ends with 20-13 loss at Baltimore : http://t.co/83WhgaJr,Baltimore,neutral,11,12
#nowplaying Aquarius ( Live ) - Within Temptation - [ 2008-Destroyed No.13 ] http://j.mp/lQceu2,Aquarius,neutral,1,2
"To claim twenty free b2b data list records from Responsiva , send an email to info@responsiva.biz and quote ""Twitter Promo""","""Twitter",neutral,18,19
"#iLove This Song ... Feat . In Trailer : THE VOW http://t.co/KCJYYNyP 'Rachel McAdams & @ChanningTatum ' http://t.co/HlqSo86c ""WeR"" Joy Williams",'Rachel McAdams,positive,12,14
"#iLove This Song ... Feat . In Trailer : THE VOW http://t.co/KCJYYNyP 'Rachel McAdams & @ChanningTatum ' http://t.co/HlqSo86c ""WeR"" Joy Williams",@ChanningTatum,neutral,15,16
"""Racism exists on all fronts and it is the primary most powerful weapon a Liberal politician has . Sen Robert Byrd ... http://t.co/XRPSnAWd",Robert Byrd,neutral,19,21
"s-s-c just go and care about yr NSAs three pillars , come and disturb us with RAM for what . tmd .",NSAs,neutral,7,8
@Douglaslas are you familiar with ASCE ( American Society of Civil Engineers ) ?,ASCE (,neutral,5,7
@Douglaslas are you familiar with ASCE ( American Society of Civil Engineers ) ?,American Society of Civil Engineers,neutral,7,12
Herbalife Ltd ( NYSE : HLF ) to Present at ICR XChange Conference January 13 - TransWorldNews ( press release ): Herb .. http://bit.ly/6iYdlT,Herbalife Ltd,neutral,0,2
Herbalife Ltd ( NYSE : HLF ) to Present at ICR XChange Conference January 13 - TransWorldNews ( press release ): Herb .. http://bit.ly/6iYdlT,ICR,neutral,10,11
Herbalife Ltd ( NYSE : HLF ) to Present at ICR XChange Conference January 13 - TransWorldNews ( press release ): Herb .. http://bit.ly/6iYdlT,TransWorldNews,neutral,16,17
AUDIO : Falling Sikh population in Afghanistan : British Sikh author Bobby Singh Bansal has travelled to Afghanist ... http://t.co/B5jO2UmA,Bobby Singh Bansal,neutral,11,14
"A great back story of a famous photo taken of Terry . The photo was shot by Peter Martin , a long time friend to The ... http://t.co/2MaihQfv",Terry,neutral,10,11
"A great back story of a famous photo taken of Terry . The photo was shot by Peter Martin , a long time friend to The ... http://t.co/2MaihQfv",Peter Martin,positive,17,19
Iran asks UN to condemn killing of nuclear scientist http://t.co/DgPFnva3,UN,neutral,2,3
The Call of True Islam : http://t.co/fEzXEK7,Islam,neutral,4,5
Selling to Crazy-Busy Buyers with Jill Konrath http://t.co/xLgHwcyD,Jill Konrath,neutral,5,7
CERN turns up power to answer Higgs riddle in 2012 | Sci-tech | http://t.co/E1HhGAeO http://t.co/jRlF2mIm,CERN,neutral,0,1
CERN turns up power to answer Higgs riddle in 2012 | Sci-tech | http://t.co/E1HhGAeO http://t.co/jRlF2mIm,Higgs,neutral,6,7
Mariam AL-Khawaja do not represent me nor #Bahrain http://twitition.com/9f4zr,Mariam AL-Khawaja,negative,0,2
Blackhawks bring in center Kruger from Sweden - Chicago Breaking ... http://bit.ly/hwKSYq,Blackhawks,neutral,0,1
Blackhawks bring in center Kruger from Sweden - Chicago Breaking ... http://bit.ly/hwKSYq,Kruger,neutral,4,5
ppl : abot Onion price hike ? ' - CM Karunanidhi : ''Go and ask PERIYAR'' MK : abot our alliance ? '' -- - Sonia : ''ASK RAJIV GANDHI''- ha ha : - ),Karunanidhi,neutral,10,11
ppl : abot Onion price hike ? ' - CM Karunanidhi : ''Go and ask PERIYAR'' MK : abot our alliance ? '' -- - Sonia : ''ASK RAJIV GANDHI''- ha ha : - ),PERIYAR'',neutral,15,16
ppl : abot Onion price hike ? ' - CM Karunanidhi : ''Go and ask PERIYAR'' MK : abot our alliance ? '' -- - Sonia : ''ASK RAJIV GANDHI''- ha ha : - ),Sonia,neutral,25,26
ppl : abot Onion price hike ? ' - CM Karunanidhi : ''Go and ask PERIYAR'' MK : abot our alliance ? '' -- - Sonia : ''ASK RAJIV GANDHI''- ha ha : - ),RAJIV GANDHI''-,neutral,28,30
I posted a new photo to Facebook http://t.co/RkgGMZwM,Facebook,neutral,6,7
Shania Twain - Dance With The One That Brought You http://t.co/uVWcAtJN,Shania Twain,neutral,0,2
"God our Father , you made St . Benedict an outstanding guide to teach men how to live in your service . Grant that by preferring your love ...",St . Benedict,positive,6,9
Check it out at http://t.co/rKDeNAYt My favourite-are Merino wool red Kamchatka socks-ideal for the Siberian freeze that hit Britain soon .,Kamchatka,positive,10,11
"Next Cineworks and Raindance ""Booze and Schmooze"" is March 5th http://t.co/WIr5hLqd",Cineworks,neutral,1,2
"Next Cineworks and Raindance ""Booze and Schmooze"" is March 5th http://t.co/WIr5hLqd",Raindance,neutral,3,4
Father-in-Law of Missing Utah Mom Charged With Possession of Child Pornography : | AP AP This undated picture mad ... http://t.co/sE8Vubjx,AP,neutral,13,14
Father-in-Law of Missing Utah Mom Charged With Possession of Child Pornography : | AP AP This undated picture mad ... http://t.co/sE8Vubjx,AP,neutral,14,15
Lukas Podolski reluctant to gamble Germany place with move to Arsenal : â?¢ KÃ¶ln striker desperate to play at Euro ... http://t.co/e4eMkLRi,Lukas Podolski,neutral,0,2
Lukas Podolski reluctant to gamble Germany place with move to Arsenal : â?¢ KÃ¶ln striker desperate to play at Euro ... http://t.co/e4eMkLRi,Germany,neutral,5,6
Lukas Podolski reluctant to gamble Germany place with move to Arsenal : â?¢ KÃ¶ln striker desperate to play at Euro ... http://t.co/e4eMkLRi,Arsenal,neutral,10,11
Lukas Podolski reluctant to gamble Germany place with move to Arsenal : â?¢ KÃ¶ln striker desperate to play at Euro ... http://t.co/e4eMkLRi,KÃ¶ln,neutral,13,14
http://bit.ly/dO0ycg ! kingston technology Thumbs up for the Do Good Denim Drive,kingston technology,positive,2,4
Hey ! Want A Free iPhone 3G S by Trying a Free Trial with Lovefilm & getting some Friends to do the same ! ? promo -http://tinyurl.com/2feylnw,Lovefilm,positive,14,15
Elvis Presley : Remembering The Singer On The 34th Anniversary Of His Death ( AUDIO ) http://t.co/0NEAW9v via @huffingtonpost,Elvis Presley,positive,0,2
Healthy Coffee ( R ) Launches New Powerful Internet Marketing System : PK ) announced that it has launched a new powe ... http://t.co/MZUbSKbT,Healthy Coffee,neutral,0,2
Oral-B Triumph 5000- A Solution to All Gum and Teeth Problems http://t.co/hSP8ykLE,Oral-B,positive,0,1
CCA meeting tomorrow at 2.30pm . All committee must be present . Members who are interested you can come too,CCA,neutral,0,1
@NickKristof Edna Adan is a genuine asset for our country : # Somaliland . Thanks for your support .,Edna Adan,positive,1,3
"OneBode Blend obtains a complete blend of antioxidants including grape seed , grape skin , pine bark and SOD precursors",OneBode Blend,positive,0,2
"Just posted ""Google vs . Facebook â?? Who are you building for ? "" http://bit.ly/dssq2i","""Google",neutral,2,3
"Just posted ""Google vs . Facebook â?? Who are you building for ? "" http://bit.ly/dssq2i",Facebook,neutral,5,6
The Cork Cancer Research Centre's test results show that turmeric can kill gullet cancer cells in 24 hours !,Cork Cancer Research Centre's,neutral,1,5
To all Ganna egy Members .Thank you for being on the page http://t.co/NHZBSX6p,Ganna egy,positive,2,4
I liked a @YouTube video http://t.co/QB1SeLvr IN THE COMPANY OF WOLVES ( HQ Live ),@YouTube,neutral,3,4
"Check out â?? The Change is Me â?? tab on Facebook featuring new blogs of our students , Jason and Tara , and lecturer Siva ! http://t.co/XyRb7dZ2",Facebook,neutral,10,11
"Check out â?? The Change is Me â?? tab on Facebook featuring new blogs of our students , Jason and Tara , and lecturer Siva ! http://t.co/XyRb7dZ2",Jason,neutral,18,19
"Check out â?? The Change is Me â?? tab on Facebook featuring new blogs of our students , Jason and Tara , and lecturer Siva ! http://t.co/XyRb7dZ2",Tara,neutral,20,21
"Check out â?? The Change is Me â?? tab on Facebook featuring new blogs of our students , Jason and Tara , and lecturer Siva ! http://t.co/XyRb7dZ2",Siva,neutral,24,25
"Tune into Courtesan Candy , Lifestyle Talk Show w/ @ Shoshi & Find out why Sexy is HER Superbowl ! 9 PM EST http://t.co/wiL0VvQI",Shoshi,positive,10,11
Are You Absolutely Clueless On How To Approach A Girl In The Club : by Wootang01 Are You Absolutely Clueless On How ... http://bit.ly/ctOxK9,Wootang01,neutral,15,16
"Do me a favour , retweet this if you are a dog owner in Singapore ! I need to add you into my twitter list of dog owners in SG ! Thanks !",twitter,neutral,23,24
Japan Atomic Crisis Eases as Spent-Fuel Pools Cool Below 100C - Bloomberg http://ht.ly/1bRf2i,Bloomberg,neutral,11,12
Now Mr . Bhusan Dahal iz in the fire ........ and Kumar phudung at side ..... great conversationn iz still on air ......,Mr . Bhusan Dahal,positive,1,5
Now Mr . Bhusan Dahal iz in the fire ........ and Kumar phudung at side ..... great conversationn iz still on air ......,Kumar phudung,positive,11,13
Lee corso just said FUCK IT on live TV,Lee corso,neutral,0,2
5 Tips for Using the New LinkedIn Company Pages http://t.co/8LpLeEsF,LinkedIn,neutral,6,7
"Louise Arbour on # wdr2011 , the report will be influential , and poses a huge challenge to operationalize it's framework .",Louise Arbour,neutral,0,2
PerfPower â?? AAA â?? Alkaline Batteries â?? 4 Pack http://t.co/7ZnsukUB,PerfPower,neutral,0,1
Knocked off loh ! D & D tonight . Went shopping w @bewitchingsmile during lunch !,D & D,positive,4,7
Lab Note s: Hope for Men Yet : ( MedPage Today ) -- Looks like the male of the human species is not due for the scra ... http://t.co/fIsRN0ZR,MedPage Today,neutral,9,11
Jamiroquai - Corner Of The Earth http://t.co/V1siPlqC vÃ?Â­a @youtube,Jamiroquai,neutral,0,1
The Grammys are watched . Go 2 sleep ; ),Grammys,neutral,1,2
ABE staff won 3rd place in the Poly50 staff catergory ! Congratulations !,ABE,positive,0,1
unfortunately couldnt watch the open debate on lottery scam btwn finance minister & V T satheeshan ...... wanna c the highlights .........,finance minister,negative,10,12
